step,loss,lr,grad_norm,peak_mem_gb,tok_seen
1,12.123588562011719,2.6666666666666664e-06,4.78125,50.008549888,65536
2,12.101608276367188,5.333333333333333e-06,4.875,52.392778752,131072
3,12.085662841796875,8e-06,5.3125,52.392778752,196608
4,12.125375747680664,1.0666666666666666e-05,5.09375,52.392778752,262144
5,12.147607803344727,1.3333333333333333e-05,5.0625,52.392778752,327680
6,12.103961944580078,1.6e-05,4.6875,52.392778752,393216
7,12.000554084777832,1.8666666666666665e-05,5.15625,52.392778752,458752
8,11.957195281982422,2.133333333333333e-05,4.84375,52.392778752,524288
9,11.808435440063477,2.3999999999999997e-05,5.53125,52.392778752,589824
10,11.792116165161133,2.6666666666666667e-05,5.0625,52.392778752,655360
11,11.574798583984375,2.9333333333333333e-05,4.90625,52.392778752,720896
12,11.566201210021973,3.2e-05,5.25,52.392778752,786432
13,11.380603790283203,3.4666666666666665e-05,4.90625,52.392778752,851968
14,11.346590042114258,3.733333333333333e-05,4.25,52.392778752,917504
15,11.073022842407227,3.9999999999999996e-05,3.90625,52.392778752,983040
16,10.909637451171875,4.266666666666666e-05,3.375,52.392778752,1048576
17,10.748793601989746,4.533333333333333e-05,2.75,52.392778752,1114112
18,10.626322746276855,4.7999999999999994e-05,2.421875,52.392778752,1179648
19,10.623046875,5.066666666666666e-05,2.359375,52.392778752,1245184
20,10.546589851379395,5.333333333333333e-05,2.265625,52.392778752,1310720
21,10.508564949035645,5.6e-05,2.28125,52.392778752,1376256
22,10.380840301513672,5.8666666666666665e-05,2.203125,52.392778752,1441792
23,10.393797874450684,6.133333333333334e-05,2.125,52.392778752,1507328
24,10.258719444274902,6.4e-05,2.140625,52.392778752,1572864
25,10.347660064697266,6.666666666666666e-05,2.21875,52.392778752,1638400
26,10.2057523727417,6.933333333333333e-05,2.203125,52.392778752,1703936
27,10.203442573547363,7.199999999999999e-05,2.171875,52.392778752,1769472
28,10.1087646484375,7.466666666666666e-05,2.109375,52.392778752,1835008
29,9.767338752746582,7.733333333333332e-05,2.140625,52.392778752,1900544
30,9.908731460571289,7.999999999999999e-05,1.953125,52.392778752,1966080
31,9.829132080078125,8.266666666666665e-05,1.9453125,52.392778752,2031616
32,9.720422744750977,8.533333333333332e-05,1.9296875,52.392778752,2097152
33,9.629756927490234,8.8e-05,1.875,52.392778752,2162688
34,9.696654319763184,9.066666666666666e-05,1.8203125,52.392778752,2228224
35,9.449979782104492,9.333333333333333e-05,1.828125,52.392778752,2293760
36,9.27811050415039,9.599999999999999e-05,1.8515625,52.392778752,2359296
37,9.228982925415039,9.866666666666666e-05,1.71875,52.392778752,2424832
38,9.150358200073242,0.00010133333333333332,1.6171875,52.392778752,2490368
39,9.240152359008789,0.000104,1.46875,52.392778752,2555904
40,8.9664945602417,0.00010666666666666667,1.5703125,52.392778752,2621440
41,8.886619567871094,0.00010933333333333333,1.4140625,52.392778752,2686976
42,8.788661003112793,0.000112,1.3515625,52.392778752,2752512
43,8.816427230834961,0.00011466666666666666,1.3203125,52.392778752,2818048
44,8.645353317260742,0.00011733333333333333,1.3359375,52.392778752,2883584
45,8.624984741210938,0.00011999999999999999,1.265625,52.392778752,2949120
46,8.570916175842285,0.00012266666666666668,1.1328125,52.392778752,3014656
47,8.28670883178711,0.00012533333333333334,1.1640625,52.392778752,3080192
48,8.218389511108398,0.000128,1.015625,52.392778752,3145728
49,8.230293273925781,0.00013066666666666665,0.99609375,52.392778752,3211264
